token,n,hem_prefix
säs,4,FALSE
tjärn,4,FALSE
torsång,4,FALSE
uppväxt,4,FALSE
utsiktsplats,4,FALSE
vacker,4,FALSE
van,4,FALSE
vandringsled,4,FALSE
venjan,4,FALSE
älvdalens,4,FALSE
avlassen,3,FALSE
badplatsen,3,FALSE
björsjö,3,FALSE
blåbär,3,FALSE
bolberget,3,FALSE
brunnsberg,3,FALSE
brunnsvik,3,FALSE
brygga,3,FALSE
buder,3,FALSE
bäcka,3,FALSE
bär,3,FALSE
bäsingen,3,FALSE
bästa,3,FALSE
bönsaberg,3,FALSE
bösjön,3,FALSE
dala,3,FALSE
dalsjö,3,FALSE
digerberget,3,FALSE
djurmo,3,FALSE
dyverdalen,3,FALSE
ejen,3,FALSE
falu,3,FALSE
finnmark,3,FALSE
fint,3,FALSE
frostbrunnsdalen,3,FALSE
fulufjällets,3,FALSE
garberg,3,FALSE
garpenberg,3,FALSE
gasenberget,3,FALSE
gesunda,3,FALSE
gnupen,3,FALSE
golf,3,FALSE
granberget,3,FALSE
gärdsjö,3,FALSE
gå,3,FALSE
harpickön,3,FALSE
hela,3,FALSE
hemort,3,TRUE
hemskogen,3,TRUE
hos,3,FALSE
hund,3,FALSE
hundpromenad,3,FALSE
husby,3,FALSE
hyn,3,FALSE
hökolsberget,3,FALSE
jungfruberget,3,FALSE
kloten,3,FALSE
kommun,3,FALSE
kring,3,FALSE
kvarnsjön,3,FALSE
kvarnstensbrottet,3,FALSE
källan,3,FALSE
käringberget,3,FALSE
larsbo,3,FALSE
larsbodarna,3,FALSE
lindvallen,3,FALSE
ludvika,3,FALSE
läde,3,FALSE
malingsbo,3,FALSE
moje,3,FALSE
nationalpark,3,FALSE
naturområde,3,FALSE
norn,3,FALSE
nusnäs,3,FALSE
näs,3,FALSE
område,3,FALSE
ore,3,FALSE
ovanför,3,FALSE
parken,3,FALSE
predikstolen,3,FALSE
promenader,3,FALSE
rekreation,3,FALSE
rembospåret,3,FALSE
ripfjället,3,FALSE
saxdalen,3,FALSE
semester,3,FALSE
siljansbygden,3,FALSE
skansen,3,FALSE
skidor,3,FALSE
skidstadion,3,FALSE
skogspromenader,3,FALSE
skräddarbacken,3,FALSE
skräddartorp,3,FALSE
smedjebacken,3,FALSE
snöån,3,FALSE
springkällan,3,FALSE
stillheten,3,FALSE
stranden,3,FALSE
ställe,3,FALSE
säfsen,3,FALSE
tråbacken,3,FALSE
tyngsjö,3,FALSE
tyrinäs,3,FALSE
ullvi,3,FALSE
utsiktsplatsen,3,FALSE
valsan,3,FALSE
vandring,3,FALSE
vansbro,3,FALSE
vet,3,FALSE
vikarbyn,3,FALSE
väsman,3,FALSE
yxberget,3,FALSE
älv,3,FALSE
älvenrundan,3,FALSE
älvrundan,3,FALSE
ätjärn,3,FALSE
ålheden,3,FALSE
öje,3,FALSE
ön,3,FALSE
östfjället,3,FALSE
östra,3,FALSE
över,3,FALSE
övre,3,FALSE
alpin,2,FALSE
alpine,2,FALSE
amungen,2,FALSE
andersbenning,2,FALSE
andra,2,FALSE
anjosvarden,2,FALSE
barkdal,2,FALSE
barn,2,FALSE
barndoms,2,FALSE
besparingsskog,2,FALSE
bjurfors,2,FALSE
björkås,2,FALSE
björnhyttan,2,FALSE
bodde,2,FALSE
boende,2,FALSE
bomansberg,2,FALSE
bonäs,2,FALSE
bostad,2,FALSE
bostaden,2,FALSE
botberget,2,FALSE
branäs,2,FALSE
brindberg,2,FALSE
broåkern,2,FALSE
bruk,2,FALSE
bruntboskogen,2,FALSE
busmor,2,FALSE
bysjörundan,2,FALSE
bärskogen,2,FALSE
bäsna,2,FALSE
bästen,2,FALSE
dalstuga,2,FALSE
dess,2,FALSE
djupdalarna,2,FALSE
djurmoklack,2,FALSE
drosbacken,2,FALSE
eldris,2,FALSE
emmeråsen,2,FALSE
engelska,2,FALSE
ensen,2,FALSE
erikänget,2,FALSE
femten,2,FALSE
finngärdet,2,FALSE
fjällvärlden,2,FALSE
flosjön,2,FALSE
flygfältet,2,FALSE
frid,2,FALSE
fridfull,2,FALSE
frihet,2,FALSE
fritid,2,FALSE
fäggeby,2,FALSE
fågelreservat,2,FALSE
födelseort,2,FALSE
föräldrahem,2,FALSE
gammals,2,FALSE
gammelskog,2,FALSE
garsås,2,FALSE
gassarvet,2,FALSE
germundtjärn,2,FALSE
gillar,2,FALSE
gk,2,FALSE
glatjärn,2,FALSE
golfklubb,2,FALSE
gonäs,2,FALSE
grangärde,2,FALSE
granön,2,FALSE
grillplats,2,FALSE
grängesåsvallen,2,FALSE
gräsberget,2,FALSE
gyllingen,2,FALSE
gården,2,FALSE
hagen,2,FALSE
hean,2,FALSE
hemfjället,2,TRUE
hemmaplan,2,TRUE
hemskog,2,TRUE
hjortnäs,2,FALSE
hjulbäcks,2,FALSE
horrmund,2,FALSE
hosjö,2,FALSE
hovran,2,FALSE
hundarna,2,FALSE
hundprommenaden,2,FALSE
hykieberg,2,FALSE
häggberget,2,FALSE
hälla,2,FALSE
hällsjön,2,FALSE
hälsinggården,2,FALSE
håksberg,2,FALSE
hötjärn,2,FALSE
indnäs,2,FALSE
isunda,2,FALSE
jaktmarken,2,FALSE
jaktmarkerna,2,FALSE
jarlområdet,2,FALSE
jorden,2,FALSE
just,2,FALSE
järpesbo,2,FALSE
jättebra,2,FALSE
jätturn,2,FALSE
klipporna,2,FALSE
klubb,2,FALSE
klubbstugan,2,FALSE
knutsboskogen,2,FALSE
kojan,2,FALSE
kringelrisåsen,2,FALSE
kråkberg,2,FALSE
kungsgården,2,FALSE
kvien,2,FALSE
kyrkberget,2,FALSE
källbergets,2,FALSE
kålgården,2,FALSE
laxtjärn,2,FALSE
lekomberg,2,FALSE
lerdalsberget,2,FALSE
lillsjön,2,FALSE
liten,2,FALSE
ljusbodarna,2,FALSE
ljustern,2,FALSE
lugnt,2,FALSE
lycka,2,FALSE
lyån,2,FALSE
långsjön,2,FALSE
låsberget,2,FALSE
lömming,2,FALSE
lövåsen,2,FALSE
malingarna,2,FALSE
mamma,2,FALSE
mm,2,FALSE
moransfabod,2,FALSE
motorstadion,2,FALSE
musi,2,FALSE
musitjärn,2,FALSE
myckelsjön,2,FALSE
myggsjö,2,FALSE
mysig,2,FALSE
mångberg,2,FALSE
mörkret,2,FALSE
mössi,2,FALSE
naturum,2,FALSE
njupeskärs,2,FALSE
noppi,2,FALSE
norr,2,FALSE
när,2,FALSE
närområdet,2,FALSE
närsen,2,FALSE
nässjön,2,FALSE
nås,2,FALSE
opplimen,2,FALSE
orrleken,2,FALSE
pilka,2,FALSE
plintsberg,2,FALSE
plättbacken,2,FALSE
reservatet,2,FALSE
ribbåsen,2,FALSE
risberg,2,FALSE
rostberg,2,FALSE
rotensugnet,2,FALSE
rottneby,2,FALSE
rysjön,2,FALSE
rädbjörka,2,FALSE
rättviks,2,FALSE
rödmyren,2,FALSE
rönnäs,2,FALSE
rösåsen,2,FALSE
se,2,FALSE
silfhyttan,2,FALSE
sjurberg,2,FALSE
sjöarna,2,FALSE
sjöstugan,2,FALSE
ska,2,FALSE
skattungbyn,2,FALSE
skidanläggning,2,FALSE
skidspår,2,FALSE
skidspåret,2,FALSE
skidåkning,2,FALSE
skogen2,2,FALSE
skogspromenaden,2,FALSE
skogsstig,2,FALSE
skolskogen,2,FALSE
skoterparadiset,2,FALSE
skramsen,2,FALSE
skäftringen,2,FALSE
slalombacken,2,FALSE
smultronställe,2,FALSE
smultronstället,2,FALSE
smäcken,2,FALSE
snöklinten,2,FALSE
spjärsbodarna,2,FALSE
staberg,2,FALSE
stabergs,2,FALSE
stackmora,2,FALSE
stensveden,2,FALSE
stigar,2,FALSE
stigen,2,FALSE
storhälla,2,FALSE
storsjön,2,FALSE
stortjärn,2,FALSE
stumsnäs,2,FALSE
sunnanäng,2,FALSE
sågmyra,2,FALSE
söderbärke,2,FALSE
ta,2,FALSE
tansbodarna,2,FALSE
tillfället,2,FALSE
tingsnäs,2,FALSE
tjärna,2,FALSE
tjärnan,2,FALSE
torpet,2,FALSE
torsmo,2,FALSE
trollskogen,2,FALSE
tuttudden,2,FALSE
tyngen,2,FALSE
tyren,2,FALSE
tyttbo,2,FALSE
udde,2,FALSE
uvbergsbacken,2,FALSE
vandringsleder,2,FALSE
varmt,2,FALSE
vasselnäs,2,FALSE
vattenfall,2,FALSE
vattentornet,2,FALSE
vattnet,2,FALSE
vaverön,2,FALSE
vedungsfjället,2,FALSE
vika,2,FALSE
vill,2,FALSE
vinäs,2,FALSE
vinässkogen,2,FALSE
världsarvet,2,FALSE
västansjö,2,FALSE
västerby,2,FALSE
västäng,2,FALSE
växte,2,FALSE
vår,2,FALSE
vårat,2,FALSE
älvdalen,2,FALSE
älvmötet,2,FALSE
åka,2,FALSE
åkern,2,FALSE
ålkilen,2,FALSE
ålsjön,2,FALSE
åsbo,2,FALSE
åsleden,2,FALSE
öndalen,2,FALSE
ösjön,2,FALSE
österdalälven,2,FALSE
östnor,2,FALSE
övermo,2,FALSE
302,1,FALSE
50,1,FALSE
70,1,FALSE
abborberg,1,FALSE
abborrtjärnen,1,FALSE
abborsjöknoppen,1,FALSE
aborre,1,FALSE
aborrtjärn,1,FALSE
agnmyrenstigen,1,FALSE
air,1,FALSE
albacksdammen,1,FALSE
alderholmen,1,FALSE
alderängay,1,FALSE
allmänningen,1,FALSE
almberget,1,FALSE
alpina,1,FALSE
alvik,1,FALSE
amberris,1,FALSE
anderses,1,FALSE
andersviksberg,1,FALSE
andjosvarden,1,FALSE
andljusvarden,1,FALSE
andningsplats,1,FALSE
anläggning,1,FALSE
anna,1,FALSE
arbete,1,FALSE
arbetsplats,1,FALSE
arena,1,FALSE
arenan,1,FALSE
arkhyttan,1,FALSE
arnön,1,FALSE
art,1,FALSE
arvselen,1,FALSE
aspdalen,1,FALSE
aspnäs,1,FALSE
avest,1,FALSE
avestaforsen,1,FALSE
avkoppning,1,FALSE
backa,1,FALSE
backbyn,1,FALSE
backe,1,FALSE
bad,1,FALSE
badklippa,1,FALSE
badstrand,1,FALSE
baka,1,FALSE
bakidan,1,FALSE
balsen,1,FALSE
bara,1,FALSE
barberget,1,FALSE
barfredshogna,1,FALSE
barkagärdesskogen,1,FALSE
barkaränget,1,FALSE
barndom,1,FALSE
barndomen,1,FALSE
barndomsminnen,1,FALSE
barndomsstället,1,FALSE
barnen,1,FALSE
baronsudden,1,FALSE
bengstheden,1,FALSE
bensåsen,1,FALSE
bergjarlås,1,FALSE
bergkarlås,1,FALSE
bergsberget,1,FALSE
berihil,1,FALSE
berts,1,FALSE
besparingsskogen,1,FALSE
besök,1,FALSE
bingsjö,1,FALSE
biotop,1,FALSE
birrebo,1,FALSE
biskobsnäset,1,FALSE
biskopsmäset,1,FALSE
bispergs,1,FALSE
bjus,1,FALSE
bjusan,1,FALSE
bjusansjön,1,FALSE
bjökbergen,1,FALSE
björfors,1,FALSE
björkbacken,1,FALSE
björkberg,1,FALSE
björkberget,1,FALSE
björnen,1,FALSE
björntjärn,1,FALSE
björnås,1,FALSE
björsberg,1,FALSE
björvalldalen,1,FALSE
blecket,1,FALSE
blinkaskogen,1,FALSE
blyberg,1,FALSE
blästa,1,FALSE
blåkullaberg,1,FALSE
bobbacke,1,FALSE
bommen,1,FALSE
bomsarvet,1,FALSE
bondsela,1,FALSE
bonäsheden,1,FALSE
borg,1,FALSE
borlänge,1,FALSE
born,1,FALSE
bornviken,1,FALSE
borrarevägen,1,FALSE
bortibacka,1,FALSE
bostadsområde,1,FALSE
boståd,1,FALSE
botnäset,1,FALSE
brandtorn,1,FALSE
brant,1,FALSE
bratberget,1,FALSE
bredmossen,1,FALSE
brednäs,1,FALSE
bredsjön,1,FALSE
bredvid,1,FALSE
brilja,1,FALSE
brinter,1,FALSE
bromsberget,1,FALSE
brottby,1,FALSE
brovallsgården,1,FALSE
brudskog,1,FALSE
brunnsjöberget,1,FALSE
brända,1,FALSE
brändskog,1,FALSE
bränntjärnstorpet,1,FALSE
brömsberget,1,FALSE
buderskogen,1,FALSE
buffils,1,FALSE
bunk,1,FALSE
burensskogen,1,FALSE
burusjön,1,FALSE
buudrudan,1,FALSE
byns,1,FALSE
byrviken,1,FALSE
bytjärn,1,FALSE
byås,1,FALSE
bäck,1,FALSE
bäckbergsskogen,1,FALSE
bäckkvarn,1,FALSE
bäcksta,1,FALSE
bäckstabadet,1,FALSE
bänken,1,FALSE
bärplock,1,FALSE
bärplockningsskogar,1,FALSE
bärstället,1,FALSE
bäsinge,1,FALSE
båda,1,FALSE
både,1,FALSE
bågskytte,1,FALSE
bångtjärn,1,FALSE
båten,1,FALSE
båthus,1,FALSE
båthusä,1,FALSE
båtplatsen,1,FALSE
böthölen,1,FALSE
bötja,1,FALSE
calle,1,FALSE
campingen,1,FALSE
campingområde,1,FALSE
caravan,1,FALSE
centrum,1,FALSE
clownstig,1,FALSE
club,1,FALSE
coastline,1,FALSE
csnada,1,FALSE
cykel,1,FALSE
cykelmecka,1,FALSE
cykelväg,1,FALSE
cykla,1,FALSE
dagkarlsbo,1,FALSE
dalaälven,1,FALSE
dalgång,1,FALSE
dalhalla,1,FALSE
dalkarlsnäs,1,FALSE
dalälvens,1,FALSE
dammsjö,1,FALSE
dg,1,FALSE
dicka,1,FALSE
digertjärnen,1,FALSE
disc,1,FALSE
discgolf,1,FALSE
discgolfpark,1,FALSE
djupdalarns,1,FALSE
djupdalen,1,FALSE
djurforsen,1,FALSE
djuro,1,FALSE
djurås,1,FALSE
djuråsby,1,FALSE
dottern,1,FALSE
drafsarna,1,FALSE
draggsängarna,1,FALSE
dragsängarna,1,FALSE
drevdagen,1,FALSE
drevfjället,1,FALSE
dräcken,1,FALSE
drälsholmen,1,FALSE
dröttholar,1,FALSE
dumtjärn,1,FALSE
duvnäs,1,FALSE
duvtjärn,1,FALSE
dyngrav,1,FALSE
dysberg,1,FALSE
dyviken,1,FALSE
dådran,1,FALSE
dö,1,FALSE
döda,1,FALSE
dödafallen,1,FALSE
döndertrasade,1,FALSE
edtjärnsberget,1,FALSE
ee,1,FALSE
eft,1,FALSE
eijskogsfjället,1,FALSE
ejheden,1,FALSE
ekholsberget,1,FALSE
ekotemplet,1,FALSE
eldrisskogen,1,FALSE
elljus,1,FALSE
emåsjön,1,FALSE
envikens,1,FALSE
enåns,1,FALSE
eversberg,1,FALSE
evertsberg,1,FALSE
exakt,1,FALSE
fallbyn,1,FALSE
fallen,1,FALSE
fallet,1,FALSE
familjegård,1,FALSE
familjens,1,FALSE
familjeplats,1,FALSE
fantastisk,1,FALSE
farbrors,1,FALSE
farfars,1,FALSE
farmor,1,FALSE
ff,1,FALSE
fika,1,FALSE
fina,1,FALSE
finnbacka,1,FALSE
finnjällsn,1,FALSE
finns,1,FALSE
fins,1,FALSE
fishing,1,FALSE
fiskeområde,1,FALSE
fiskesjön,1,FALSE
fiskeställe,1,FALSE
fiskevatten,1,FALSE
fiskevårdsförening,1,FALSE
fisklädkölen,1,FALSE
fjelle,1,FALSE
fjeta,1,FALSE
fjägeråsen,1,FALSE
fjällberget,1,FALSE
fjällboende,1,FALSE
fjällfoten,1,FALSE
fjällnaturen,1,FALSE
fjällskogwn,1,FALSE
fjälltopp,1,FALSE
fjällvandring,1,FALSE
fjällvattnet,1,FALSE
fjällvidder,1,FALSE
fjäta,1,FALSE
fjätån,1,FALSE
flatberget,1,FALSE
flatdammasrundan,1,FALSE
flatenbergs,1,FALSE
flenarna,1,FALSE
flobergets,1,FALSE
floda,1,FALSE
flodpärlmuslan,1,FALSE
flotten,1,FALSE
fly,1,FALSE
flyten,1,FALSE
flytta,1,FALSE
flyttade,1,FALSE
flyttat,1,FALSE
fläck,1,FALSE
flötvägen,1,FALSE
fnaggelbo,1,FALSE
folkhemmet,1,FALSE
folkärna,1,FALSE
fornby,1,FALSE
forsen,1,FALSE
forsängen,1,FALSE
foskros,1,FALSE
fosksjön,1,FALSE
frbg,1,FALSE
fredagsmyren,1,FALSE
fridfullt,1,FALSE
frihuset,1,FALSE
friluftsliv,1,FALSE
friluftsområde,1,FALSE
fritidintresse,1,FALSE
fritids,1,FALSE
fritidshusområde,1,FALSE
frosbrunnsdalen,1,FALSE
frostbrunsdalen,1,FALSE
främby,1,FALSE
främbyskogen,1,FALSE
främsbacka,1,FALSE
fu,1,FALSE
fulufjäll,1,FALSE
fulusjön,1,FALSE
funäsdalen,1,FALSE
furuviken,1,FALSE
fyriberg,1,FALSE
fyribergs,1,FALSE
fyrtjänarna,1,FALSE
fäbo,1,FALSE
fäbodstuga,1,FALSE
fämtfallet,1,FALSE
färjkarlsbo,1,FALSE
färnäs,1,FALSE
fågelliv,1,FALSE
fågelsjö,1,FALSE
fågelskådning,1,FALSE
fågelskådningsplattformen,1,FALSE
fåglar,1,FALSE
fårberg,1,FALSE
fåså,1,FALSE
föräldra,1,FALSE
gagnef,1,FALSE
galånäset,1,FALSE
gammal,1,FALSE
gammalskog,1,FALSE
gammelgården,1,FALSE
gammelselen,1,FALSE
gammelsätervallen,1,FALSE
gamtkwensbrune,1,FALSE
geflu,1,FALSE
generellt,1,FALSE
genom,1,FALSE
gensen,1,FALSE
gesindaberget,1,FALSE
gesundaneeget,1,FALSE
gimklack,1,FALSE
gimsbärke,1,FALSE
gistholmen,1,FALSE
glyfjärden,1,FALSE
gokartskogen,1,FALSE
golfbanan,1,FALSE
golfen,1,FALSE
granar,1,FALSE
granbergets,1,FALSE
granfjäll,1,FALSE
grangärdebygden,1,FALSE
granmor,1,FALSE
granåsjön,1,FALSE
gravröset,1,FALSE
grejsarberget,1,FALSE
grevbo,1,FALSE
grifdelnäs,1,FALSE
griffelnäs,1,FALSE
grillplatsen,1,FALSE
grotfallet,1,FALSE
grottvägen,1,FALSE
grunddagssätern,1,FALSE
grundsand,1,FALSE
grusvägarna,1,FALSE
gruvsjön,1,FALSE
gruvvandringen,1,FALSE
grycken,1,FALSE
grytnäs,1,FALSE
gränges,1,FALSE
grängesberg,1,FALSE
grängshammar,1,FALSE
gråbodarns,1,FALSE
gråbuan,1,FALSE
gråda,1,FALSE
grådön,1,FALSE
gråtbäck,1,FALSE
gröna,1,FALSE
gröntjätnsrundan,1,FALSE
gröntuv,1,FALSE
grössjön,1,FALSE
grötboskogen,1,FALSE
gröveldammen,1,FALSE
grövelfjäll,1,FALSE
grövveldammen,1,FALSE
gubbo,1,FALSE
gulabron,1,FALSE
guldkusten,1,FALSE
gullmyren,1,FALSE
gunhån,1,FALSE
gussjö,1,FALSE
gussjön,1,FALSE
gustafs,1,FALSE
gutdalens,1,FALSE
gyllfäbodarna,1,FALSE
gym,1,FALSE
gällsjön,1,FALSE
gärdebyn,1,FALSE
gärdsjöbyarna,1,FALSE
gärdåsselen,1,FALSE
gäsen,1,FALSE
gässberg,1,FALSE
gålsbo,1,FALSE
gård,1,FALSE
gårlången,1,FALSE
gåsholmen,1,FALSE
gått,1,FALSE
göberget,1,FALSE
haftahedarna,1,FALSE
hage,1,FALSE
haglingbarg,1,FALSE
hagudden,1,FALSE
halla,1,FALSE
hallsjökvarn,1,FALSE
halvars,1,FALSE
halvarsgårdarna,1,FALSE
halvårs,1,FALSE
halvön,1,FALSE
hammarbacken,1,FALSE
hamn,1,FALSE
hamnen,1,FALSE
hamrebeget,1,FALSE
handbacken,1,FALSE
hansuskojan,1,FALSE
haraldsbo,1,FALSE
harasviken,1,FALSE
harmoniskt,1,FALSE
harmsarvets,1,FALSE
harnäs,1,FALSE
harnässkogen,1,FALSE
havtrollet,1,FALSE
heaven,1,FALSE
heby,1,FALSE
heda,1,FALSE
heden,1,FALSE
hedenskogen,1,FALSE
hedsåsen,1,FALSE
hedsåsens,1,FALSE
hellbergs,1,FALSE
helsingland,1,FALSE
helvetesfallet,1,FALSE
hemby,1,TRUE
hembygdsgård,1,TRUE
hemfjällsstugan,1,TRUE
hemgården,1,TRUE
hemkommun,1,TRUE
hemkomun,1,TRUE
hemm,1,TRUE
hemmavid,1,TRUE
hemmets,1,TRUE
hemmikring,1,TRUE
hemmiljö,1,TRUE
hemshyttan,1,TRUE
hemskiftet,1,TRUE
hemtjärn,1,TRUE
hemu,1,TRUE
hemulberget,1,TRUE
hemulsjö,1,TRUE
hemulån,1,TRUE
hemusslingorna,1,TRUE
hemusterrängen,1,TRUE
herrgården,1,FALSE
heter,1,FALSE
hfalun,1,FALSE
hiking,1,FALSE
himmelfjäll,1,FALSE
himmeråsen,1,FALSE
hindriksheden,1,FALSE
hinsen,1,FALSE
hjälptjärn,1,FALSE
hjärta,1,FALSE
holmen,1,FALSE
holselen,1,FALSE
hoppbacken,1,FALSE
hornberga,1,FALSE
hosjöholmen,1,FALSE
hosjön,1,FALSE
hosjöstrand,1,FALSE
hotell,1,FALSE
hulen,1,FALSE
hummelbo,1,FALSE
hundar,1,FALSE
hundhagen,1,FALSE
hundpromenaden,1,FALSE
hundrastning,1,FALSE
hunflen,1,FALSE
husbyringen,1,FALSE
huset,1,FALSE
huskläppen,1,FALSE
husom,1,FALSE
husvagnen,1,FALSE
hygge,1,FALSE
hytta,1,FALSE
hyttkvarn,1,FALSE
hägnåsen,1,FALSE
hällaskogen,1,FALSE
hälsingberg,1,FALSE
hälsinggårdsbryggan,1,FALSE
hänget,1,FALSE
härbret,1,FALSE
härligt,1,FALSE
hässjön,1,FALSE
hässlen,1,FALSE
hästengsflotten,1,FALSE
hästingsleden,1,FALSE
hästkullen,1,FALSE
håberget,1,FALSE
håkölen,1,FALSE
håliden,1,FALSE
hållberg,1,FALSE
hållberget,1,FALSE
hånäset,1,FALSE
håsjön,1,FALSE
hög,1,FALSE
högbergets,1,FALSE
högbyn,1,FALSE
högåsberget,1,FALSE
högåsen,1,FALSE
högåsrundan,1,FALSE
hökberg,1,FALSE
hökbergs,1,FALSE
hökmora,1,FALSE
hörksnäs,1,FALSE
ickorrbotten,1,FALSE
ickån,1,FALSE
idbäck,1,FALSE
idrott,1,FALSE
igeltjärn,1,FALSE
indornäs,1,FALSE
ingelsbo,1,FALSE
ingevallsbo,1,FALSE
innan,1,FALSE
insjön,1,FALSE
insjönaturen,1,FALSE
issan,1,FALSE
jakten,1,FALSE
jaktkoja,1,FALSE
jaktkojan,1,FALSE
jaktområde,1,FALSE
jaktområdet,1,FALSE
jaktstuga,1,FALSE
japanska,1,FALSE
jarlskogen,1,FALSE
jarlstugan,1,FALSE
jelksjöarna,1,FALSE
jerkansbudan,1,FALSE
jj,1,FALSE
jobba,1,FALSE
jobsbo,1,FALSE
jsktstuga,1,FALSE
jutbo,1,FALSE
jädersholmar,1,FALSE
jägarnas,1,FALSE
jägarnäsbadet,1,FALSE
jämtland,1,FALSE
jättemysigt,1,FALSE
jönna,1,FALSE
jönsson,1,FALSE
jönsssgården,1,FALSE
kalberget,1,FALSE
kalfjäll,1,FALSE
kalkbergsvägen,1,FALSE
kallholn,1,FALSE
kanotleden,1,FALSE
kantarellskogen,1,FALSE
kaplaskogen,1,FALSE
karlberg,1,FALSE
kartan,1,FALSE
kerstins,1,FALSE
kesjön,1,FALSE
killingberget,1,FALSE
killinghol,1,FALSE
kinnvallsjön,1,FALSE
kjällberget,1,FALSE
klikten,1,FALSE
klingen,1,FALSE
klint,1,FALSE
klinten,1,FALSE
klockarnäs,1,FALSE
klubbhomnen,1,FALSE
klutsjön,1,FALSE
kläberget,1,FALSE
klätterberget,1,FALSE
knippoheden,1,FALSE
knäsjön,1,FALSE
knåparbodarna,1,FALSE
kohagen,1,FALSE
kollsjön,1,FALSE
kolonilotten,1,FALSE
kompis,1,FALSE
konnsjön,1,FALSE
koppslahyttan,1,FALSE
korpfjäll,1,FALSE
